taxa,Chl c3,MgDVP,Chl c2,Chl c1,Peridinin,ButFuc,Fuc,pras,violax,Hex,allox,Zea,Lut,Chlb,np-chl c2,chl_a
Prasinophytes,0,0.062,0,0,0,0,0,0.245,0.054,0,0,0.058,0.021,0.704,0,1
Chlorophytes,0,0.001674811,0,0,0,0,0,0,0.049,0,0,0.032,0.171,0.315,0,1
Euglenophytes,0,0,0,0,0,0,0,0,0,0,0,0,0,0.377,0,1
Cryptophytes,0,0.001280276,0.196,0,0,0,0,0,0,0,0.379,0,0,0,0,1
Diatoms-A,0,0.001108976,0.045,0.023,0,0,0.623,0,0,0,0,0,0,0,0,1
Diatoms-B,0.083,0,0.284,0,0,0,0.998,0,0,0,0,0,0,0,0,1
Dinoflag-A,0,0.000974879,0.218,0,0.558,0,0,0,0,0,0,0,0,0,0,1
Hapto-A,0.177,0.009,0.209,0,0,0.005,0.229,0,0,0.47,0,0,0,0,0.087,1
Hapto-B,0.171,0.029,0.192,0,0,0.103,0.3,0,0,0.371,0,0,0,0,0.058,1
Dinoflag-B,0.035,0.006,0.093,0,0,0.061,0.19,0,0,0.188,0,0,0,0,0,1
Cyanobact,0,0,0,0,0,0,0,0,0,0,0,0.636,0,0,0,1
